,field_1,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD,geometry,Unnamed: 0,counts,score
21,21,23,3735055,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,NOT AVAILABLE,(256) 737-2598,GENERAL ACUTE CARE,OPEN,150,CULLMAN,1043,USA,34.2013272,-86.80572957,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY,2014-02-10,http://www.crmchospital.com,H2201,NOT AVAILABLE,1,NON-PROFIT,-999,150,LEVEL III,Y,POINT (-86.80572957 34.2013272),2.0,551.0,3.0
22,22,24,3836427,D. W. MCMILLAN MEMORIAL HOSPITAL,"1301 BELLEVILLE AVENUE, PO DRAWER 908",BREWTON,AL,36427,NOT AVAILABLE,(251) 867-8061,GENERAL ACUTE CARE,OPEN,91,ESCAMBIA,1053,USA,31.12703391,-87.0734993,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2014-03-12,http://www.dwmmh.org,H2703,NOT AVAILABLE,1,GOVERNMENT - DISTRICT/AUTHORITY,-999,91,LEVEL III,Y,POINT (-87.07349929999999 31.1270339100001),2.0,551.0,3.0
23,23,25,836360,DALE MEDICAL CENTER,126 HOSPITAL AVENUE,OZARK,AL,36360,NOT AVAILABLE,(334) 774-2224,GENERAL ACUTE CARE,OPEN,89,DALE,1045,USA,31.45157666,-85.63208804,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2014-03-12,http://www.dalemedical.org,H2301,NOT AVAILABLE,1,GOVERNMENT - LOCAL,-999,89,LEVEL III,Y,POINT (-85.63208804 31.4515766600001),2.0,551.0,3.0
24,24,26,935401,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,NOT AVAILABLE,(205) 759-7147,GENERAL ACUTE CARE,OPEN,583,TUSCALOOSA,1125,USA,33.20482053,-87.52741947,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2014-03-12,http://www.dchsystem.com,H6301,NOT AVAILABLE,1,GOVERNMENT - DISTRICT/AUTHORITY,-999,583,LEVEL III,Y,POINT (-87.52741947 33.2048205300001),2.0,551.0,3.0
25,25,27,3935601,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 SEVENTH STREET SOUTHEAST,DECATUR,AL,35601,NOT AVAILABLE,(256) 973-2000,GENERAL ACUTE CARE,OPEN,273,MORGAN,1103,USA,34.59034409,-86.97148153,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2014-03-12,http://www.decaturgeneral.org/,H5202,NOT AVAILABLE,1,PROPRIETARY,-999,273,LEVEL III,Y,POINT (-86.97148152999991 34.59034409),2.0,551.0,3.0
26,26,28,1035601,DECATUR MORGAN HOSPITAL - PARKWAY CAMPUS,1874 BELTLINE ROAD SW,DECATUR,AL,35601,NOT AVAILABLE,(256) 973-2000,GENERAL ACUTE CARE,OPEN,120,MORGAN,1103,USA,34.57689679,-87.01580866,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2013-10-02,http://www.decaturgeneral.org/,H5201,NOT AVAILABLE,1,PROPRIETARY,-999,120,NOT AVAILABLE,N,POINT (-87.01580865999991 34.57689679),5.0,5637.0,6.0
27,27,29,1135601,DECATUR MORGAN WEST,"2205 BELTLINE ROAD SW, PO BOX 2240",DECATUR,AL,35601,NOT AVAILABLE,(256) 973-2000,PSYCHIATRIC,OPEN,64,MORGAN,1103,USA,34.58368232,-87.02541659,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY,2013-09-03,http://www.decaturgeneral.org/,H5206,NOT AVAILABLE,1,PROPRIETARY,-999,64,NOT AVAILABLE,N,POINT (-87.02541659000001 34.58368232),5.0,5637.0,6.0
28,28,30,4135968,DEKALB REGIONAL MEDICAL CENTER,"200 MEDICAL CENTER DRIVE, PO BOX 680778",FORT PAYNE,AL,35968,1608,(256) 845-3150,GENERAL ACUTE CARE,OPEN,134,DEKALB,1049,USA,34.44127984,-85.75621837,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2014-03-12,http://www.dekalbregional.com,H2501,NOT AVAILABLE,1,PROPRIETARY,-999,134,LEVEL III,Y,POINT (-85.7562183699999 34.44127984),2.0,551.0,3.0
29,29,31,5036854,EAMC - LANIER,4800 48TH STREET,VALLEY,AL,36854,3666,(334) 756-9180,GENERAL ACUTE CARE,OPEN,115,CHAMBERS,1017,USA,32.82459811,-85.16870267,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2014-02-10,http://www.lanierhospital.com,H0904,NOT AVAILABLE,1,GOVERNMENT - DISTRICT/AUTHORITY,-999,115,NOT AVAILABLE,Y,POINT (-85.16870267 32.8245981100001),5.0,5637.0,6.0
30,30,32,1236801,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,NOT AVAILABLE,(334) 749-3411,GENERAL ACUTE CARE,OPEN,314,LEE,1081,USA,32.63852487,-85.40447479,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2014-02-10,http://www.eamc.org,H4101,NOT AVAILABLE,1,GOVERNMENT - DISTRICT/AUTHORITY,-999,314,LEVEL III,Y,POINT (-85.4044747899999 32.63852487),2.0,551.0,3.0
31,31,33,4336526,EASTPOINTE HOSPITAL,7400 ROPER LANE,DAPHNE,AL,36526,NOT AVAILABLE,(251) 450-5901,PSYCHIATRIC,OPEN,66,BALDWIN,1003,USA,30.63528915,-87.8951391,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY,2014-02-10,http://www.altapointe.org/eastpointe.php,H4913,NOT AVAILABLE,1,PROPRIETARY,-999,66,NOT AVAILABLE,N,POINT (-87.89513909999989 30.6352891500001),5.0,5637.0,6.0
32,32,34,4536092,ELMORE COMMUNITY HOSPITAL,"500 HOSPITAL DRIVE, PO BOX 130",WETUMPKA,AL,36092,NOT AVAILABLE,(256) 825-7821,GENERAL ACUTE CARE,OPEN,69,ELMORE,1051,USA,32.55226697,-86.18639645,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2013-09-06,http://www.elmorehospital.com/,H2601,NOT AVAILABLE,1,PROPRIETARY,-999,69,NOT AVAILABLE,Y,POINT (-86.18639645 32.5522669700001),5.0,5637.0,6.0
33,33,35,5835209,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,NOT AVAILABLE,(205) 868-2000,REHABILITATION,OPEN,100,JEFFERSON,1073,USA,33.46911585,-86.78833499,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2013-09-05,http://www.healthsouthlakeshorerehab.com,H3709,NOT AVAILABLE,1,PROPRIETARY,-999,100,NOT AVAILABLE,N,POINT (-86.78833499 33.46911585),5.0,5637.0,6.0
34,34,36,2236301,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,DOTHAN,AL,36301,NOT AVAILABLE,(334) 712-6333,REHABILITATION,OPEN,51,HOUSTON,1069,USA,31.21791191,-85.36581263,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2014-03-12,http://www.healthsouthdothan.com,H3504,NOT AVAILABLE,1,PROPRIETARY,-999,51,NOT AVAILABLE,Y,POINT (-85.36581262999989 31.2179119100001),5.0,5637.0,6.0
35,35,37,5935903,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF GADSDEN,801 GOODYEAR AVENUE,GADSDEN,AL,35903,NOT AVAILABLE,(256) 439-5000,REHABILITATION,OPEN,48,ETOWAH,1055,USA,34.00674122,-85.96848844,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2013-09-06,http://www.healthsouthgadsden.com/,H2804,NOT AVAILABLE,1,PROPRIETARY,-999,48,NOT AVAILABLE,Y,POINT (-85.96848844 34.00674122),5.0,5637.0,6.0
36,36,38,2336116,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE ROAD,MONTGOMERY,AL,36116,NOT AVAILABLE,(334) 284-7700,REHABILITATION,OPEN,75,MONTGOMERY,1101,USA,32.31910698,-86.2807098,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2014-02-10,http://www.healthsouthmontgomery.com,H5101,NOT AVAILABLE,1,PROPRIETARY,-999,75,NOT AVAILABLE,N,POINT (-86.2807098 32.3191069800001),5.0,5637.0,6.0
37,37,39,90235801,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NORTH ALABAMA,107 GOVERNORS DRIVE SW,HUNTSVILLE,AL,35801,NOT AVAILABLE,(256) 535-2300,REHABILITATION,OPEN,70,MADISON,1089,USA,34.71920943,-86.57986887,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2015-02-03,NOT AVAILABLE,H4502,NOT AVAILABLE,1,PROPRIETARY,-999,70,NOT AVAILABLE,Y,POINT (-86.57986887 34.71920943),5.0,5637.0,6.0
38,38,40,196784285,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY COUNTY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,35124,NOT AVAILABLE,(205) 216-7600,REHABILITATION,OPEN,34,SHELBY,1117,USA,33.2832999,-86.79881,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2022-04-01,NOT AVAILABLE,H5903,NOT AVAILABLE,1,PROPRIETARY,-999,34,NOT AVAILABLE,N,POINT (-86.7988099999999 33.2832999),5.0,5637.0,6.0
