field_1,field_1_1,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD,Unnamed: 0,counts,score
"307","307","311","3472401",ST. BERNARDS MEDICAL CENTER,2712 EAST JOHNSON AVENUE,JONESBORO,AR,"72405",NOT AVAILABLE,(870) 932-2800,PSYCHIATRIC,OPEN,"62",CRAIGHEAD,"5031",USA,35.85221482,-90.66978926,"622210",PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2014/02/10,http://www.sbrmc.com/,AR4645,NOT AVAILABLE,"5",NON-PROFIT,"-999","62",NOT AVAILABLE,N,5,5637,6
"308","308","312","3772956",BAPTIST HEALTH - VAN BUREN,211 CRAWFORD MEMORIAL DRIVE,VAN BUREN,AR,"72956","5322",(479) 474-3401,GENERAL ACUTE CARE,OPEN,"103",CRAWFORD,"5033",USA,35.43540066,-94.33879771,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2014/02/10,http://www.summitmedicalcenter.net,AR5599,NOT AVAILABLE,"5",PROPRIETARY,"-999","103",LEVEL IV,Y,3,1008,4
"309","309","313","185272301","BAPTIST MEMORIAL HOSPITAL - CRITTENDEN, INC",2100 NORTH SEVENTH STREET,WEST MEMPHIS,AR,"72301","2017",(870) 394-7800,GENERAL ACUTE CARE,OPEN,"11",CRITTENDEN,"5035",USA,35.16795985,-90.17783336,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2020/05/05,https://www.baptistonline.org/locations/crittenden,AR5505,NOT AVAILABLE,"5",NOT AVAILABLE,"-999","11",NOT AVAILABLE,Y,5,5637,6
"310","310","314","62572396",CROSSRIDGE COMMUNITY HOSPITAL,310 SOUTH FALLS BOULEVARD,WYNNE,AR,"72396",NOT AVAILABLE,(870) 238-3300,GENERAL ACUTE CARE,OPEN,"25",CROSS,"5037",USA,35.21955792,-90.78664054,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2014/12/02,NOT AVAILABLE,AR4063,NOT AVAILABLE,"5",NOT AVAILABLE,"-999","25",NOT AVAILABLE,Y,5,5637,6
"311","311","315","2571742",DALLAS COUNTY MEDICAL CENTER,201 CLIFTON STREET,FORDYCE,AR,"71742",NOT AVAILABLE,(870) 352-6300,CRITICAL ACCESS,OPEN,"25",DALLAS,"5039",USA,33.81085539,-92.42558764,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2014/03/12,NOT AVAILABLE,AR4114,NOT AVAILABLE,"5",GOVERNMENT - LOCAL,"-999","25",LEVEL IV,Y,3,1008,4
"312","312","316","62671639",DELTA MEMORIAL HOSPITAL,811 HIGHWAY 65 SOUTH,DUMAS,AR,"71639",NOT AVAILABLE,(870) 382-4303,GENERAL ACUTE CARE,OPEN,"25",DESHA,"5041",USA,33.87320167,-91.48036852,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2014/12/02,NOT AVAILABLE,AR4392,NOT AVAILABLE,"5",NOT AVAILABLE,"-999","25",NOT AVAILABLE,Y,5,5637,6
"313","313","317","8971654",MCGEHEE HOSPITAL,900 SOUTH THIRD STREET,MCGEHEE,AR,"71654","2526",(870) 222-5600,CRITICAL ACCESS,OPEN,"25",DESHA,"5041",USA,33.61845532,-91.39227634,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2014/02/10,NOT AVAILABLE,AR4657,NOT AVAILABLE,"5",NON-PROFIT,"-999","25",NOT AVAILABLE,Y,5,5637,6
"314","314","318","169772032",BAPTIST HEALTH MEDICAL CENTER - CONWAY,1555 EXCHANGE AVENUE,CONWAY,AR,"72032","7824",(501) 585-2000,GENERAL ACUTE CARE,OPEN,"111",FAULKNER,"5045",USA,35.05671664,-92.41957062,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2019/05/09,NOT AVAILABLE,AR5248,NOT AVAILABLE,"5",PROPRIETARY,"-999","111",LEVEL III,Y,2,551,3
"315","315","319","192772034",CONWAY BEHAVIORAL HEALTH,2255 STURGIS ROAD,CONWAY,AR,"72034","8334",(501) 205-0011,PSYCHIATRIC,OPEN,"80",FAULKNER,"5045",USA,35.03810928,-92.42399239,"622210",PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2020/05/05,https://www.conwaybh.com/?utm_source=yext&utm_medium=organic&utm_campaign=listing&utm_term=brand,AR5367,NOT AVAILABLE,"5",NOT AVAILABLE,"-999","80",NOT AVAILABLE,N,5,5637,6
"316","316","320","4472034",CONWAY REGIONAL MEDICAL CENTER,2302 COLLEGE AVENUE,CONWAY,AR,"72034",NOT AVAILABLE,(501) 329-3831,GENERAL ACUTE CARE,OPEN,"150",FAULKNER,"5045",USA,35.08566805,-92.4578836,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY,2014/02/10,http://www.conwayregional.org,"2657",NOT AVAILABLE,"5",NON-PROFIT,"-999","150",LEVEL III,Y,2,551,3
"317","317","321","4572034",CONWAY REGIONAL REHABILITATION HOSPITAL,2210 ROBINSON AVENUE,CONWAY,AR,"72034",NOT AVAILABLE,(501) 932-3500,REHABILITATION,OPEN,"26",FAULKNER,"5045",USA,35.08929113,-92.45568605,"622310","REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY,2013/09/17,NOT AVAILABLE,AR4261,NOT AVAILABLE,"5",PROPRIETARY,"-999","26",NOT AVAILABLE,N,5,5637,6
"318","318","322","62972949",MERCY HOSPITAL OZARK,801 WEST RIVER STREET,OZARK,AR,"72949",NOT AVAILABLE,(479) 667-4138,GENERAL ACUTE CARE,OPEN,"25",FRANKLIN,"5047",USA,35.48582001,-93.83344375,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2014/12/02,NOT AVAILABLE,AR4939,NOT AVAILABLE,"5",NOT AVAILABLE,"-999","25",LEVEL IV,Y,3,1008,4
"319","319","323","1172576",FULTON COUNTY HOSPITAL,679 NORTH MAIN STREET,SALEM,AR,"72576",NOT AVAILABLE,(870) 895-2691,CRITICAL ACCESS,OPEN,"25",FULTON,"5049",USA,36.38290088,-91.81030795,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY,2014/03/12,http://www.fultoncountyhospital.org,AR4230,NOT AVAILABLE,"5",GOVERNMENT - LOCAL,"-999","25",LEVEL IV,Y,3,1008,4
"320","320","324","5971913",CHI ST. VINCENT HOSPITAL HOT SPRINGS,300 WERNER STREET,HOT SPRINGS,AR,"71913","6408",(501) 622-1120,GENERAL ACUTE CARE,OPEN,"282",GARLAND,"5051",USA,34.46802567,-93.06627041,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2014/02/10,http://www.chistvincent.com/hospitals/st-vincent-hot-springs,AR5099,NOT AVAILABLE,"5",NON-PROFIT,"-999","282",LEVEL II,Y,1,369,2
"321","321","325","4771913",CHI ST. VINCENT HOT SPRINGS REHABILITATION HOSPITAL - A PARTNER OF ENCOMPASS HEALTH,1636 HIGDON FERRY ROAD,HOT SPRINGS,AR,"71913","6912",(501) 651-2000,REHABILITATION,OPEN,"48",GARLAND,"5051",USA,34.46425123,-93.07493223,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2017/12/12,NOT AVAILABLE,AR5515,NOT AVAILABLE,"5",PROPRIETARY,"-999","48",NOT AVAILABLE,N,5,5637,6
"322","322","326","13571913",CHRISTUS DUBUIS HOSPITAL OF HOT SPRINGS,"300 WERNER STREET, 3RD FLOOR",HOT SPRINGS,AR,"71913","6406",(501) 609-4300,LONG TERM CARE,OPEN,"27",GARLAND,"5051",USA,34.46805422,-93.0672341,"622310",SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2016/03/09,http://www.christusdubuis.org/hotsprings,AR5357,NOT AVAILABLE,"5",PROPRIETARY,"-999","27",NOT AVAILABLE,Y,5,5637,6
"323","323","327","1971901",LEVI HOSPITAL,300 PROSPECT AVENUE,HOT SPRINGS,AR,"71901","4003",(501) 624-1281,GENERAL ACUTE CARE,OPEN,"50",GARLAND,"5051",USA,34.50989707,-93.05757749,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY,2014/02/10,http://www.levihospital.com,AR5149,NOT AVAILABLE,"5",NON-PROFIT,"-999","50",NOT AVAILABLE,N,5,5637,6
"324","324","328","5600000",NATIONAL PARK MEDICAL CENTER,1910 MALVERN AVENUE,HOT SPRINGS,AR,"71901",NOT AVAILABLE,(501) 321-1000,GENERAL ACUTE CARE,OPEN,"163",GARLAND,"5051",USA,34.48610511,-93.03538527,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2014/02/10,http://www.nationalparkmedical.com,AR4187,NOT AVAILABLE,"5",PROPRIETARY,"-999","163",NOT AVAILABLE,Y,5,5637,6
"325","325","329","6272450",ARKANSAS METHODIST MEDICAL CENTER,900 WEST KINGSHIGHWAY,PARAGOULD,AR,"72450",NOT AVAILABLE,(870) 239-7000,GENERAL ACUTE CARE,OPEN,"129",GREENE,"5055",USA,36.05194431,-90.49845704,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2014/02/10,http://www.arkansasmethodist.org,AR4056,NOT AVAILABLE,"5",NON-PROFIT,"-999","129",LEVEL IV,Y,3,1008,4
"326","326","330","6371801",WADLEY REGIONAL MEDICAL CENTER AT HOPE,2001 SOUTH MAIN,HOPE,AR,"71801","8124",(870) 722-3800,GENERAL ACUTE CARE,OPEN,"48",HEMPSTEAD,"5057",USA,33.64817908,-93.58441613,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2014/02/10,NOT AVAILABLE,AR4793,NOT AVAILABLE,"5",PROPRIETARY,"-999","48",NOT AVAILABLE,Y,5,5637,6
"327","327","331","12172104",ARKANSAS DEPARTMENT OF CORRECTION - OUACHITA RIVER UNIT INPATIENT CARE FACILITY,100 WALCO LANE,MALVERN,AR,"72104",NOT AVAILABLE,(501) 467-3400,GENERAL ACUTE CARE,OPEN,"28",HOT SPRING,"5059",USA,34.34486847,-92.84270041,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY,2016/07/06,NOT AVAILABLE,AR4756,NOT AVAILABLE,"5",GOVERNMENT - STATE,"-999","28",NOT AVAILABLE,N,5,5637,6
"328","328","332","6600000",BAPTIST HEALTH MEDICAL CENTER - HOT SPRING COUNTY,1001 SCHNEIDER DRIVE,MALVERN,AR,"72104","4811",(501) 332-1000,GENERAL ACUTE CARE,OPEN,"72",HOT SPRING,"5059",USA,34.35877404,-92.7858884,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2014/02/10,http://www.hscmc.org/,AR5048,NOT AVAILABLE,"5",PROPRIETARY,"-999","72",LEVEL IV,Y,3,1008,4
"329","329","333","64371852",HOWARD MEMORIAL HOSPITAL,130 MEDICAL CIRCLE,NASHVILLE,AR,"71852",NOT AVAILABLE,(870) 845-4400,GENERAL ACUTE CARE,OPEN,"20",HOWARD,"5061",USA,33.94972276,-93.88054918,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2014/12/02,NOT AVAILABLE,AR4577,NOT AVAILABLE,"5",NOT AVAILABLE,"-999","20",LEVEL IV,Y,3,1008,4
